instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
binomial_7_4_7_8 classical 0 static 0.15 0.00 0.00 0.00 0.01 17 34 8 59 42
sendrah classical 0 static 0.13 0.00 0.00 0.00 0.00 7 221 14 9 2
roseh classical 0 static 0.14 0.00 0.00 0.01 0.04 23 663 17 56 33
binomial_7_4_7_8 F4 0 static 0.30 0.00 0.00 0.00 0.28 17 34 8 126 42
sendrah F4 0 static 0.29 0.00 0.00 0.00 0.29 7 221 14 66 2
roseh F4 0 static 0.33 0.00 0.00 0.00 0.31 23 663 17 478 35
sendrah classical 0 caboara-perry 0.08 0.07 0.06 0.00 0.01 6 192 13 9 3
binomial_7_4_7_8 classical 0 caboara-perry 0.09 0.07 0.06 0.00 0.01 9 18 7 27 18
binomial_7_4_7_8 F4 0 caboara-perry 0.10 0.08 0.05 0.01 0.01 13 26 7 108 31
sendrah F4 0 caboara-perry 0.15 0.13 0.12 0.00 0.01 4 89 14 94 2
sendrah classical 0 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 1 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
binomial_7_4_7_8 classical 0 perturbation 0.13 0.11 0.10 0.00 0.00 17 34 8 59 42
sendrah classical 2 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 3 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 4 perturbation 0.03 0.02 0.02 0.00 0.01 7 221 14 9 2
sendrah classical 5 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
krider classical 0 static 0.89 0.00 0.00 0.10 0.65 40 570 11 255 165
sendrah classical 6 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
binomial_7_4_7_8 classical 1 perturbation 0.15 0.13 0.12 0.00 0.01 17 34 8 59 42
sendrah classical 7 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 8 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 9 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 10 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
binomial_7_4_7_8 classical 2 perturbation 0.13 0.11 0.10 0.00 0.00 17 34 8 59 42
sendrah classical 11 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
roseh classical 0 caboara-perry 0.58 0.44 0.38 0.02 0.09 36 1255 21 88 52
sendrah classical 12 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 13 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 14 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 15 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
binomial_7_4_7_8 classical 3 perturbation 0.12 0.11 0.10 0.00 0.00 17 34 8 59 42
sendrah classical 16 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 17 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 18 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
sendrah classical 19 perturbation 0.03 0.02 0.02 0.00 0.00 7 221 14 9 2
