Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
binomial_7_4_7_8 classical 0 static 0.13 0.00 0.00 0.01 0.01 17 34 8 59 42
fmtm_non_hom F4 22 perturbation 0.18 0.06 0.06 0.00 0.04 2 4 4 7 1
binomial_7_4_7_8 F4 0 static 0.05 0.00 0.00 0.01 0.03 17 34 8 126 42
fmtm_non_hom F4 23 perturbation 0.06 0.05 0.04 0.00 0.00 2 4 4 7 1
fmtm_non_hom F4 24 perturbation 0.06 0.05 0.04 0.00 0.00 2 4 4 7 1
fmtm_non_hom F4 25 perturbation 0.04 0.03 0.03 0.00 0.00 2 4 4 7 1
fmtm_non_hom F4 26 perturbation 0.04 0.03 0.03 0.00 0.00 4 8 7 16 3
fmtm_non_hom F4 27 perturbation 0.04 0.03 0.03 0.00 0.00 4 8 7 16 3
fmtm_non_hom F4 28 perturbation 0.04 0.03 0.03 0.00 0.00 2 4 4 7 1
fmtm_non_hom F4 29 perturbation 0.04 0.03 0.03 0.00 0.00 2 4 4 9 1
cyclicnh2 classical 0 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 1 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 2 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 3 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 4 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 5 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 6 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 7 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 8 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 9 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 10 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 11 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 12 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 13 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 14 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 15 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 16 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 17 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh6 classical 4 perturbation 1.12 0.55 0.47 0.04 0.43 34 1540 9 101 66
cyclicnh2 classical 18 perturbation 0.04 0.03 0.03 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 19 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 20 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 21 perturbation 0.03 0.03 0.02 0.00 0.00 2 4 2 2 0
econh7 classical 0 static 1.06 0.00 0.00 0.07 0.95 51 1127 10 213 162
cyclicnh2 classical 22 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 23 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 24 perturbation 0.03 0.02 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 25 perturbation 0.03 0.03 0.03 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 26 perturbation 0.03 0.03 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 27 perturbation 0.03 0.03 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 28 perturbation 0.03 0.03 0.03 0.00 0.00 2 4 2 2 0
cyclicnh2 classical 29 perturbation 0.03 0.03 0.02 0.00 0.00 2 4 2 2 0
cyclicnh2 F4 0 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 1 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 2 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 3 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 4 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 5 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 6 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 7 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 8 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 9 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 10 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 11 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 12 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 13 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 14 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 15 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 16 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 17 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 18 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 19 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 20 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 21 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 22 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 23 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 24 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 25 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 26 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
cyclicnh2 F4 27 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
