name n m k T deg hom
ahml 5 4 32003 64 4 no
ahmlh 6 4 32003 64 4 yes
assur44 8 8 32003 102 3 no
aubry2 7 12 32003 541 7 no
berth 3 2 32003 64 26 no
berthh 4 2 32003 64 26 yes
binomial_4_2_4_1 4 4 32003 8 2 yes
binomial_5_3_4_4 5 4 32003 8 3 yes
binomial_5_3_4_6 5 4 32003 8 3 yes
binomial_5_3_5_3 5 5 32003 10 3 yes
binomial_5_3_5_5 5 5 32003 10 3 yes
binomial_6_2_6_7 6 6 32003 12 2 yes
binomial_6_3_6_6 6 6 32003 12 3 yes
binomial_7_3_7_9 7 7 32003 14 3 yes
binomial_7_4_7_8 7 7 32003 14 4 yes
binomial_8_3_8_16 8 8 32003 16 3 yes
binomial_8_4_8_9 8 8 32003 16 4 yes
buchberger87 6 3 7583 6 3 yes
butcher8 8 8 32003 150 4 no
cohn3 4 4 32003 88 6 no
cyclicn2 2 2 32003 4 2 no
cyclicn3 3 3 32003 8 3 no
cyclicn4 4 4 32003 17 4 no
cyclicn5 5 5 32003 47 5 no
cyclicn6 6 6 32003 97 6 no
cyclicn7 7 7 32003 209 7 no
cyclicn8 8 8 32003 406 8 no
cyclicnh2 3 2 32003 4 2 yes
cyclicnh3 4 3 32003 8 3 yes
cyclicnh4 5 4 32003 17 4 yes
cyclicnh5 6 5 32003 47 5 yes
cyclicnh6 7 6 32003 97 6 yes
cyclicnh7 8 7 32003 209 7 yes
czapor87_1h 5 4 32003 40 2 yes
czapor87_2h 5 4 32003 48 2 yes
dessin1 8 10 32003 139 3 no
dl 8 11 32003 89 6 no
ducos7_3 7 12 32003 1018 7 no
ducos7_5 7 13 32003 1612 7 no
econ2 2 2 32003 4 1 no
econ3 3 3 32003 8 2 no
econ4 4 5 32003 21 3 no
econ5 5 6 32003 32 3 no
econ6 6 7 32003 49 3 no
econ7 7 8 32003 81 3 no
econ8 8 9 32003 120 3 no
econh2 3 2 32003 4 2 yes
econh3 4 3 32003 8 3 yes
econh4 5 4 32003 15 3 yes
econh5 6 5 32003 24 3 yes
econh6 7 6 32003 40 3 yes
econh7 8 7 32003 65 3 yes
extcyc5 6 6 32003 124 5 no
extcyc5h 7 6 32003 124 5 yes
extcyc6 7 7 32003 283 6 no
extcyc6h 8 7 32003 283 6 yes
fateman 4 3 32003 33 5 yes
fatemanh 5 3 32003 33 5 yes
fmtm 4 3 32003 6 4 yes
fmtm_non_hom 3 2 32003 4 3 no
fmtmdeh 3 3 32003 6 4 no
gerdt93 6 3 7583 10 3 yes
hemmecke 5 3 32003 16 15 yes
hfe_segers 8 14 2 96 3 no
ilias12 8 11 32003 345 5 no
ilias13 7 10 32003 187 5 no
ilias13h 8 10 32003 187 5 yes
ilias_k_2 8 9 32003 38 5 no
issac97 4 4 32003 48 2 no
jason210 8 3 32003 8 6 yes
joswig101-trimmed 5 5 101 23 23 no
katsuran2 3 2 32003 5 2 no
katsuran3 4 3 32003 12 2 no
katsuran4 5 4 32003 26 2 no
katsuran5 6 5 32003 47 2 no
katsuran6 7 6 32003 73 2 no
katsuran7 8 7 32003 117 2 no
katsuranh2 4 2 32003 5 2 yes
katsuranh3 5 3 32003 12 2 yes
katsuranh4 6 4 32003 26 2 yes
katsuranh5 7 5 32003 47 2 yes
katsuranh6 8 6 32003 73 2 yes
lichtblau 3 2 32003 23 11 no
liu 6 4 2 16 2 yes
mckay 4 9 32003 1342 10 no
noon7 7 7 32003 56 3 no
noon8 8 8 32003 72 3 no
nya 4 9 32003 1342 10 no
r5_2_2 5 5 32003 55 2 yes
r5_2_2_h 5 5 32003 55 2 yes
r5_2_4 5 5 32003 580 4 no
r5_2_4_h 5 5 32003 82 4 yes
r5_2_6 5 5 32003 2260 6 no
r5_2_6_h 5 5 32003 396 6 yes
r6_2_2 6 6 32003 96 2 yes
r6_2_2_h 6 6 32003 96 2 yes
r6_2_4 6 6 32003 1187 4 no
r6_2_4_h 6 6 32003 270 4 yes
r6_2_6_h 6 6 32003 948 6 yes
r7_2_2 7 7 32003 154 2 yes
r7_2_2_h 7 7 32003 154 2 yes
r7_2_4_h 7 7 32003 406 4 yes
r7_2_6_h 7 7 32003 2156 6 yes
r8_2_2 8 8 32003 232 2 yes
r8_2_2_h 8 8 32003 232 2 yes
r8_2_4_h 8 8 32003 912 4 yes
redcyc6 6 6 32003 97 10 no
redcyc6h 7 6 32003 97 11 yes
redcyc7 7 7 32003 209 12 no
redcyc7h 8 7 32003 209 13 yes
