instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions totalcoefs avgcoefs maxcoefs
cyclicn4 classical 0 static 0.10 0.00 0.00 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 28 perturbation 0.20 0.09 0.08 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 3 perturbation 0.22 0.09 0.08 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 0 caboara-perry 0.12 0.09 0.07 0.00 0.01 5 21 5 8 3 10 2.00 2
katsuran4 classical 29 perturbation 0.08 0.06 0.05 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 0 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 4 perturbation 0.08 0.06 0.06 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 0 random 0.10 0.06 0.04 0.01 0.02 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 13 perturbation 0.38 0.20 0.17 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh4 classical 5 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 1 perturbation 0.09 0.06 0.04 0.01 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 6 perturbation 0.07 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 2 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 1 random 0.09 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 3 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 7 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 2 random 0.10 0.07 0.05 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 4 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 8 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 14 perturbation 0.24 0.16 0.14 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 5 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 3 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 9 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 6 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 4 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 10 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 7 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 8 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 11 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 5 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 15 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 9 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 12 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 6 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 10 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 13 perturbation 0.07 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 7 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 11 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 14 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 12 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 8 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 16 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 13 perturbation 0.05 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 15 perturbation 0.07 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 9 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 14 perturbation 0.05 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 16 perturbation 0.07 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 15 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 10 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 17 perturbation 0.07 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn5 classical 8 perturbation 1.27 0.34 0.29 0.05 0.72 23 295 8 124 83 2035 88.00 237
cyclicn4 classical 16 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 11 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 17 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 18 perturbation 0.07 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 17 perturbation 0.25 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
katsuran4 classical 12 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 18 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 19 perturbation 0.08 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 19 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 13 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 20 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 20 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 14 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 21 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 21 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 18 perturbation 0.26 0.17 0.14 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 22 perturbation 0.05 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 15 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 22 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 23 perturbation 0.05 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 23 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 16 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 24 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 24 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 17 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 25 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 19 perturbation 0.23 0.14 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 26 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 25 perturbation 0.08 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 27 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 26 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 28 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 27 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 29 perturbation 0.06 0.04 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh6 classical 23 perturbation 2.04 0.65 0.54 0.06 1.17 34 1540 9 101 66 229 6.00 18
cyclicnh4 classical 28 perturbation 0.07 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 20 perturbation 0.25 0.17 0.15 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 0 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 18 random 0.33 0.31 0.29 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 29 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 1 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 19 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 0 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 2 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 20 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 1 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 3 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn5 classical 9 perturbation 1.06 0.26 0.23 0.05 0.69 23 295 8 124 83 2035 88.00 237
cyclicnh5 classical 21 perturbation 0.23 0.15 0.14 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh4 classical 2 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 21 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 4 random 0.07 0.06 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 3 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuran4 classical 22 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
