instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
buch85 classical 0 localsearch 0.98 0.70 0.17 0.07 0.06 11 24 3 17 6
noon3 classical 0 localsearch 1.44 1.25 0.53 0.01 0.06 4 73 14 26 6
s9_1 F4 0 localsearch 1.84 1.64 0.81 0.09 0.08 9 83 7 336 65
buch85 F4 0 localsearch 3.55 3.04 0.26 0.33 0.04 11 24 4 309 104
noon3 F4 0 localsearch 2.22 1.86 0.70 0.08 0.24 4 73 14 680 85
s9_1 classical 0 localsearch 1.77 1.57 0.72 0.04 0.12 9 99 9 31 8
kotsireas classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
eco8 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
noon5 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
kotsireas F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
noon5 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
eco8 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
