instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
buch85 classical 8 random 0.39 0.14 0.06 0.07 0.02 14 35 4 45 21
buch85 F4 2 random 0.55 0.09 0.04 0.24 0.07 27 58 4 446 174
buch85 classical 9 random 0.43 0.26 0.11 0.08 0.02 14 35 6 43 19
buch85 F4 14 perturbation 0.97 0.26 0.13 0.44 0.12 33 83 5 904 310
buch85 classical 0 static 1.17 0.00 0.00 0.62 0.39 59 155 3 414 348
buch85 classical 10 random 0.98 0.27 0.11 0.47 0.12 18 42 3 231 186
buch85 F4 0 static 1.17 0.00 0.00 0.78 0.33 59 155 3 1754 399
buch85 classical 11 random 0.57 0.12 0.05 0.21 0.13 32 109 4 156 115
buch85 F4 15 perturbation 1.54 0.27 0.15 0.70 0.51 44 131 4 1228 281
buch85 classical 0 caboara-perry 0.38 0.18 0.04 0.07 0.06 11 24 3 17 6
buch85 classical 12 random 0.72 0.27 0.11 0.26 0.09 27 74 6 122 85
buch85 F4 3 random 2.58 0.21 0.06 1.45 0.82 47 151 6 3082 662
buch85 F4 16 perturbation 0.70 0.25 0.13 0.30 0.08 30 76 4 573 149
buch85 F4 0 caboara-perry 1.01 0.76 0.09 0.15 0.04 18 48 4 319 55
buch85 classical 13 random 0.69 0.44 0.08 0.10 0.06 17 49 4 84 51
buch85 F4 17 perturbation 0.75 0.25 0.12 0.34 0.09 26 67 5 653 200
buch85 F4 4 random 1.01 0.07 0.03 0.66 0.21 53 125 7 1511 497
buch85 classical 14 random 0.72 0.20 0.08 0.23 0.17 32 129 6 170 125
buch85 F4 26 random 4.53 0.17 0.08 3.07 1.09 67 188 5 4347 1275
eco8 F4 10 perturbation 4.90 0.15 0.09 1.21 3.19 59 2704 5 3919 647
buch85 F4 18 perturbation 1.00 0.24 0.12 0.55 0.15 30 80 4 798 240
buch85 classical 15 random 0.49 0.20 0.08 0.18 0.05 11 24 3 57 30
buch85 F4 27 random 0.51 0.09 0.05 0.31 0.06 25 56 4 446 138
buch85 F4 5 random 1.16 0.07 0.03 0.77 0.26 51 137 3 1629 489
buch85 F4 28 random 0.56 0.07 0.03 0.35 0.09 28 68 4 643 219
buch85 F4 19 perturbation 0.69 0.24 0.12 0.32 0.08 37 82 4 811 332
buch85 classical 16 random 0.74 0.26 0.11 0.27 0.11 23 63 6 103 65
buch85 classical 20 perturbation 5.75 2.05 1.02 2.80 0.55 53 123 6 803 728
buch85 F4 6 random 0.46 0.07 0.03 0.30 0.04 18 43 6 362 138
buch85 F4 29 random 0.35 0.07 0.03 0.20 0.03 18 40 3 351 157
buch85 classical 17 random 0.26 0.12 0.05 0.05 0.04 16 39 4 41 20
buch85 classical 0 perturbation 2.82 1.69 0.98 0.72 0.26 32 79 7 363 316
buch85 F4 20 perturbation 0.94 0.24 0.12 0.49 0.15 37 101 6 1108 334
buch85 classical 18 random 0.80 0.32 0.13 0.22 0.14 30 99 5 160 115
buch85 F4 21 perturbation 0.75 0.22 0.11 0.36 0.11 33 83 5 808 256
buch85 F4 22 perturbation 0.66 0.23 0.12 0.33 0.05 21 48 4 491 208
buch85 classical 19 random 1.25 0.41 0.17 0.51 0.20 27 62 4 219 168
buch85 F4 7 random 2.40 0.16 0.07 1.71 0.45 31 100 5 2019 421
buch85 classical 1 perturbation 1.83 1.08 0.54 0.45 0.18 27 64 3 187 144
buch85 F4 8 random 0.31 0.07 0.03 0.17 0.03 11 24 3 292 111
buch85 F4 23 perturbation 0.67 0.23 0.12 0.30 0.08 30 76 4 573 149
eco8 classical 16 perturbation 8.96 0.47 0.26 0.48 7.78 59 2704 5 347 269
buch85 F4 9 random 0.50 0.07 0.03 0.32 0.06 24 58 6 567 223
eco8 F4 11 perturbation 4.70 0.14 0.08 1.21 3.09 59 2704 5 3919 647
buch85 F4 10 random 0.69 0.07 0.03 0.45 0.11 42 93 4 1011 413
buch85 classical 20 random 1.73 0.63 0.27 0.60 0.33 39 101 6 289 231
buch85 classical 21 perturbation 4.31 2.42 1.23 1.22 0.48 30 86 4 525 469
buch85 classical 21 random 0.26 0.12 0.05 0.05 0.04 13 30 6 26 9
buch85 F4 11 random 0.52 0.07 0.03 0.33 0.07 25 60 6 594 232
buch85 classical 22 random 0.62 0.33 0.14 0.11 0.08 19 56 4 87 51
buch85 F4 12 random 0.83 0.07 0.03 0.55 0.15 33 91 6 899 231
buch85 classical 23 random 0.40 0.19 0.08 0.09 0.06 16 48 3 57 33
buch85 F4 24 perturbation 2.65 0.54 0.27 1.61 0.40 54 141 6 2359 585
buch85 F4 25 perturbation 0.76 0.23 0.12 0.38 0.09 24 63 5 654 190
buch85 classical 24 random 1.03 0.40 0.17 0.34 0.17 28 70 5 146 97
buch85 F4 13 random 1.66 0.07 0.03 1.02 0.50 60 200 6 2561 593
buch85 classical 22 perturbation 2.73 1.55 0.76 0.72 0.31 24 65 5 386 339
buch85 F4 26 perturbation 0.68 0.22 0.11 0.33 0.09 33 79 4 754 255
buch85 classical 25 random 1.17 0.52 0.17 0.34 0.20 18 63 4 109 68
buch85 F4 27 perturbation 0.67 0.23 0.12 0.31 0.08 30 76 4 573 149
buch85 F4 14 random 1.01 0.07 0.03 0.65 0.22 37 99 4 1353 350
eco8 classical 0 static 8.12 0.00 0.00 0.45 7.59 59 2704 5 347 269
eco8 F4 12 perturbation 4.50 0.13 0.07 1.18 2.94 59 2704 5 3919 647
buch85 classical 23 perturbation 1.47 0.76 0.38 0.42 0.16 26 71 5 179 130
buch85 classical 26 random 1.15 0.33 0.14 0.39 0.29 34 130 5 199 142
buch85 F4 15 random 0.85 0.07 0.03 0.54 0.18 28 83 5 992 247
buch85 F4 28 perturbation 1.36 0.23 0.11 0.80 0.27 51 155 4 1495 380
buch85 classical 27 random 0.70 0.33 0.13 0.13 0.15 26 72 6 101 68
buch85 F4 16 random 0.89 0.07 0.03 0.57 0.20 32 119 4 919 227
buch85 F4 29 perturbation 0.76 0.21 0.11 0.39 0.10 33 83 5 904 310
buch85 classical 28 random 0.93 0.39 0.16 0.22 0.21 32 104 5 149 111
buch85 classical 2 perturbation 7.75 2.34 1.17 4.01 1.08 53 137 10 1109 1021
buch85 classical 0 random 0.72 0.32 0.13 0.21 0.08 25 64 6 123 82
buch85 F4 17 random 1.10 0.07 0.03 0.61 0.35 44 136 5 1922 442
