instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicn3 F4 0 localsearch 0.11 0.00 0.00 0.00 0.00 3 8 3 0 0
katsuranh3 classical 0 localsearch 0.23 0.12 0.04 0.00 0.00 4 16 3 5 1
lichtblau F4 0 localsearch 0.24 0.10 0.05 0.00 0.01 2 23 11 7 1
katsuran2 F4 0 localsearch 0.03 0.00 0.00 0.00 0.00 2 5 2 0 0
buchberger87 F4 0 localsearch 0.28 0.14 0.05 0.00 0.02 5 10 5 25 5
buchberger87 classical 0 localsearch 0.29 0.13 0.05 0.00 0.00 5 10 5 9 4
binomial_6_2_6_7 classical 0 localsearch 0.47 0.27 0.11 0.01 0.02 10 20 4 24 14
krider classical 0 localsearch 14.63 14.26 10.34 0.10 0.21 12 47 11 88 53
issac97 classical 0 localsearch 3.11 2.93 1.44 0.03 0.11 5 85 14 39 10
issac97 F4 0 localsearch 1.29 1.11 0.43 0.03 0.11 12 184 6 422 82
r5_2_2_h F4 0 localsearch 1.27 1.11 0.46 0.06 0.07 22 171 6 551 228
hemmecke F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 3 16 15 0 0
binomial_7_4_7_8 F4 0 localsearch 0.44 0.39 0.16 0.02 0.01 9 18 7 208 88
sparsesym5 F4 0 localsearch 0.08 0.07 0.02 0.00 0.00 5 12 10 9 0
katsuran4-simple classical 0 localsearch 0.43 0.36 0.16 0.01 0.04 5 41 6 14 3
wang16h classical 0 localsearch 23.82 22.96 11.21 0.14 0.67 40 1000 11 123 83
r7_2_2_h F4 0 localsearch 46.98 41.83 11.31 2.14 2.48 67 1487 8 4823 2214
uteshev_bikker F4 0 localsearch 4.64 4.08 1.33 0.04 0.46 19 587 7 777 157
czapor87_2h F4 0 localsearch 1.52 1.42 0.50 0.02 0.07 12 180 5 298 77
binomial_8_3_8_16 classical 0 localsearch 0.25 0.20 0.08 0.02 0.01 8 16 3 25 17
dessin1h classical 0 localsearch 79.70 74.23 37.81 0.98 4.36 54 2285 11 227 173
extcyc5h classical 0 localsearch 119.09 117.26 24.81 0.13 1.62 42 3155 12 118 76
el44 classical 0 localsearch 129.14 126.27 29.44 0.62 2.13 9 54 6 115 31
econ3 F4 0 localsearch 0.04 0.03 0.01 0.00 0.00 3 9 2 2 0
weispfenning94 classical 0 localsearch 3.66 3.50 1.98 0.01 0.12 15 600 10 29 14
cyclicn4-simple classical 0 localsearch 0.13 0.11 0.05 0.00 0.01 5 21 5 8 3
dessin1 F4 0 localsearch 14.65 12.95 3.20 0.40 1.19 25 862 7 2061 297
redcyc6 F4 0 localsearch 249.93 177.48 67.25 20.37 50.36 19 373 48 39788 2974
katsuran8 F4 0 localsearch 354.78 329.58 29.47 3.45 20.31 83 8074 8 10851 2097
sparsesym5h classical 0 localsearch 0.18 0.14 0.07 0.01 0.02 6 16 18 16 10
binomial_8_4_8_9 F4 0 localsearch 0.79 0.72 0.15 0.03 0.02 18 36 7 351 150
solotarevh F4 0 localsearch 0.19 0.17 0.08 0.00 0.01 6 23 5 63 14
reimer5 F4 0 localsearch 355.98 327.35 35.59 5.60 21.97 50 4944 11 11800 1789
reimer5h F4 0 localsearch 1444.79 1357.17 109.84 11.00 71.32 195 21063 16 32342 7057
binomial_5_3_4_4 classical 0 localsearch 0.12 0.08 0.03 0.00 0.02 5 10 4 7 2
berthh classical 0 localsearch 3069.55 3035.89 698.46 0.77 32.58 183 32592 58 439 256
cyclicn4-simple F4 0 localsearch 0.21 0.18 0.08 0.00 0.01 5 21 5 33 3
r6_2_4_h classical 0 localsearch 3048.31 3010.93 291.32 2.23 34.79 160 9551 13 724 564
wang16 classical 0 localsearch 3.66 3.43 1.49 0.03 0.16 16 346 6 57 34
bench1 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
gerdt93 classical 0 localsearch 0.18 0.16 0.08 0.00 0.01 5 29 5 7 2
cyclicnh2 classical 0 localsearch 0.03 0.02 0.01 0.00 0.00 2 4 2 2 0
solotarev F4 0 localsearch 0.16 0.13 0.04 0.00 0.02 5 24 4 67 13
reimer5h classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
dessin2h F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
redcyc6 classical 0 localsearch 204.50 185.92 110.39 1.06 17.18 19 394 48 346 178
el44 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
czapor87_1h classical 0 localsearch 1.37 1.29 0.71 0.02 0.05 12 156 5 30 18
schieleh classical 0 localsearch 0.04 0.02 0.01 0.00 0.00 2 7 2 2 0
binomial_5_3_5_3 F4 0 localsearch 0.32 0.28 0.12 0.01 0.02 9 18 6 171 48
r6_2_4_h F4 0 localsearch 643.12 604.65 41.59 8.73 26.76 165 10031 13 16435 5639
hfe_segers F4 0 localsearch 10.97 9.27 2.03 1.35 0.25 46 198 4 2017 942
econh8 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
i1 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
f744 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
katsuran3 F4 0 localsearch 0.16 0.05 0.02 0.00 0.01 4 16 3 12 1
dessin2 F4 0 localsearch 13.27 10.92 2.25 0.40 1.87 24 621 7 3016 260
katsuran2 classical 0 localsearch 0.03 0.02 0.00 0.00 0.00 2 5 2 2 0
liu F4 0 localsearch 3.28 3.10 1.25 0.02 0.13 18 192 9 798 125
binomial_6_3_6_6 classical 0 localsearch 0.20 0.14 0.06 0.01 0.03 7 14 5 18 11
trinks classical 0 localsearch 3.62 3.41 2.01 0.04 0.13 21 225 7 59 38
binomial_5_3_5_5 F4 0 localsearch 0.13 0.10 0.02 0.00 0.01 5 10 3 28 11
schiele F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
cyclicnh2 F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
sendrah F4 0 localsearch 0.94 0.89 0.40 0.00 0.03 7 221 14 66 2
fabrice24h F4 0 localsearch 380.28 366.04 39.78 3.68 9.64 106 4300 8 13955 2867
binomial_8_4_8_9 classical 0 localsearch 0.94 0.84 0.51 0.03 0.03 18 36 7 60 42
r8_2_2_h F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
katsuran4-simple F4 0 localsearch 0.48 0.42 0.17 0.02 0.03 5 41 7 143 27
extcyc5 classical 0 localsearch 3237.24 3144.97 1363.53 6.08 84.06 6 322 175 846 461
econh8 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
sendra F4 0 localsearch 3.15 2.71 0.77 0.02 0.38 5 235 19 566 44
filter9 classical 0 localsearch NA NA NA NA NA NA NA NA NA NA
r5_2_2_h classical 0 localsearch 3.06 2.81 1.57 0.06 0.15 22 171 6 71 49
