instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
econ2 F4 11 random 0.11 0.00 0.00 0.00 0.00 2 4 1 0 0
cyclicn2 classical 18 random 0.14 0.03 0.02 0.00 0.00 2 4 2 2 0
cyclicn3 classical 0 caboara-perry 0.15 0.03 0.02 0.00 0.00 3 8 3 3 0
katsuran3 classical 11 random 0.17 0.04 0.02 0.00 0.00 4 16 3 5 1
katsuran2 classical 5 random 0.17 0.03 0.02 0.00 0.00 2 5 2 2 0
solotarevh classical 11 perturbation 0.21 0.04 0.03 0.00 0.01 10 50 6 24 14
buchberger87 F4 25 random 0.07 0.03 0.02 0.00 0.02 8 16 6 38 10
sendra classical 8 random 0.12 0.04 0.01 0.00 0.03 6 186 11 9 2
binomial_8_4_8_9 F4 8 perturbation 0.14 0.08 0.06 0.00 0.04 9 18 7 108 40
cyclicnh3 classical 8 random 0.04 0.02 0.01 0.00 0.00 3 8 3 3 0
gerdt93 classical 21 random 0.07 0.03 0.01 0.00 0.02 9 109 6 18 9
binomial_7_3_7_9 classical 27 random 0.12 0.07 0.03 0.01 0.02 12 24 4 45 31
cyclicn3 F4 9 perturbation 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
cyclicn5-permut classical 3 random 0.61 0.17 0.09 0.06 0.33 20 232 8 113 75
katsuran6-simple classical 17 random 0.52 0.12 0.06 0.02 0.35 22 528 6 70 48
wang16 classical 1 perturbation 0.64 0.10 0.08 0.06 0.43 12 280 5 76 39
fmtm F4 0 random 0.04 0.03 0.01 0.00 0.01 8 16 7 53 13
sendra classical 13 perturbation 0.04 0.01 0.01 0.00 0.01 6 186 11 9 2
cyclicn2 classical 29 random 0.03 0.02 0.01 0.00 0.00 2 4 2 2 0
cyclicn5-permut classical 21 random 1.17 0.24 0.12 0.14 0.62 22 264 9 187 133
wang16h F4 27 perturbation 0.56 0.03 0.02 0.03 0.47 33 809 9 420 73
weispfenning94 F4 0 static 0.18 0.00 0.00 0.01 0.15 22 511 14 363 29
gerdt93 F4 24 perturbation 0.08 0.03 0.02 0.00 0.03 7 63 5 149 15
uteshev_bikker classical 22 perturbation 0.27 0.08 0.05 0.01 0.16 17 519 7 44 27
redcyc6 F4 5 random 2.55 0.13 0.07 0.46 1.70 21 493 6 1979 328
r6_2_2 classical 4 random 1.37 0.43 0.09 0.08 0.81 39 498 7 162 123
cyclicnh3 F4 0 static 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
wang16h F4 27 random 0.25 0.03 0.01 0.02 0.16 33 809 9 420 73
schiele classical 0 static 0.01 0.00 0.00 0.00 0.00 2 6 2 2 0
wang16h classical 12 random 0.58 0.12 0.06 0.03 0.39 33 809 9 97 64
binomial_5_3_5_5 F4 25 perturbation 0.06 0.03 0.02 0.00 0.01 8 16 6 46 17
cyclicnh3 F4 7 perturbation 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
binomial_5_3_4_6 classical 23 perturbation 0.14 0.08 0.06 0.02 0.01 5 10 5 48 30
binomial_6_2_6_7 F4 15 perturbation 0.06 0.03 0.02 0.01 0.01 9 18 3 74 31
fabrice24h F4 5 perturbation 3.19 0.08 0.04 0.42 2.41 102 3831 8 2435 642
wang16h F4 0 caboara-perry 1.10 0.77 0.20 0.04 0.24 32 762 11 632 72
r7_2_2_h classical 19 random 5.49 0.62 0.14 0.28 4.49 67 1487 8 339 272
r7_2_2_h classical 15 random 5.40 0.30 0.14 0.28 4.71 67 1487 8 339 272
trinks classical 1 random 0.12 0.06 0.03 0.01 0.03 13 109 5 29 16
lichtblau F4 18 random 0.23 0.06 0.03 0.02 0.13 8 226 7 241 34
assur44 F4 7 random 5.38 0.04 0.02 1.82 3.13 87 4541 4 2578 542
econ2 F4 8 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 1 0 0
sparsesym5 F4 0 static 0.01 0.00 0.00 0.00 0.00 5 12 10 9 0
fmtmdeh classical 11 random 0.04 0.02 0.01 0.00 0.00 7 14 8 16 7
r7_2_2_h classical 22 random 5.43 0.30 0.14 0.28 4.74 67 1487 8 339 272
dessin2h F4 0 perturbation 3.79 0.09 0.05 0.53 2.95 90 2838 7 3884 586
czapor87_2h classical 18 random 0.13 0.05 0.03 0.01 0.05 12 180 5 30 18
r8_2_2 F4 0 perturbation 3.47 0.06 0.03 0.93 2.09 128 5194 9 2329 1087
r6_2_2 F4 23 perturbation 0.26 0.03 0.02 0.07 0.11 39 498 7 510 236
