Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
schieleh classical 26 random 0.15 0.04 0.02 0.00 0.00 2 6 2 2 0
hemmecke classical 9 perturbation 0.15 0.04 0.03 0.00 0.00 3 16 15 3 0
binomial_7_4_7_8 classical 0 static 0.04 0.00 0.00 0.01 0.02 17 34 8 59 42
binomial_8_4_8_9 F4 22 random 0.22 0.05 0.03 0.01 0.02 9 18 7 118 42
sym33 F4 15 random 0.09 0.03 0.02 0.00 0.05 10 85 10 175 15
issac97 classical 11 perturbation 0.24 0.05 0.03 0.01 0.05 12 180 5 30 18
econ2 classical 6 perturbation 0.02 0.01 0.01 0.00 0.00 2 4 1 2 0
gerdt93 F4 15 perturbation 0.14 0.04 0.03 0.00 0.07 7 63 5 149 15
binomial_7_4_7_8 classical 3 perturbation 0.19 0.13 0.09 0.01 0.02 17 34 8 59 42
wang16h F4 0 static 0.66 0.00 0.00 0.03 0.50 33 809 9 420 73
cyclicn5-simple F4 25 random 0.43 0.08 0.04 0.12 0.18 20 232 8 575 157
r7_2_2_h F4 24 perturbation 1.23 0.08 0.04 0.25 0.78 67 1487 8 1056 488
issac97 F4 27 perturbation 0.09 0.02 0.01 0.01 0.05 12 180 5 176 40
econ2 classical 29 random 0.03 0.02 0.01 0.00 0.00 2 4 1 2 0
dessin1 classical 14 random 3.25 0.15 0.06 0.20 2.80 20 736 18 143 78
hairer3 classical 1 perturbation 0.09 0.08 0.03 0.00 0.00 1 1 0 1 0
binomial_5_3_5_5 classical 22 perturbation 0.08 0.05 0.03 0.01 0.01 8 16 6 25 14
krider F4 19 random 3.44 0.19 0.10 0.40 2.74 40 570 11 4088 224
solotarev F4 21 random 0.06 0.02 0.01 0.01 0.01 7 37 3 96 13
redcyc6h F4 3 random 3.06 0.09 0.04 0.66 1.99 106 3994 22 2635 786
binomial_5_3_4_4 F4 27 perturbation 0.05 0.02 0.02 0.00 0.01 4 8 3 16 4
wang16h classical 28 random 2.01 0.41 0.08 0.10 1.44 40 1004 14 169 114
redcyc6 F4 15 perturbation 2.32 0.15 0.08 0.48 1.51 21 493 6 1979 328
binomial_6_2_6_7 F4 2 perturbation 0.06 0.03 0.02 0.01 0.01 9 18 3 74 31
cyclicn5-simple classical 10 random 0.50 0.11 0.05 0.05 0.31 20 232 8 113 75
berthh F4 0 perturbation 5.14 0.27 0.18 0.99 3.50 64 4820 45 2603 580
r5_2_4_h classical 0 localsearch 11.14 10.20 5.34 0.18 0.61 38 519 9 130 92
cyclicn4-simple classical 4 random 0.04 0.02 0.01 0.00 0.00 7 30 6 12 5
dessin2 F4 18 perturbation 1.20 0.00 0.00 0.22 0.88 46 1337 4 1350 205
fabrice24h F4 4 perturbation 2.91 0.07 0.04 0.41 2.16 102 3831 8 2435 642
czapor87_2h F4 26 perturbation 0.09 0.02 0.01 0.01 0.04 12 180 5 176 40
hairer1 classical 7 perturbation 0.12 0.05 0.03 0.01 0.04 15 193 8 31 16
el44 classical 3 perturbation 18.89 1.65 0.91 3.24 13.75 10 47 2 320 161
krider classical 8 perturbation 7.73 1.50 0.96 1.04 5.06 8 135 17 242 156
r5_2_4_h classical 0 static 0.52 0.00 0.00 0.05 0.44 35 453 9 122 87
vermeer classical 26 random 1.00 0.21 0.10 0.07 0.68 20 433 6 135 88
dessin1 F4 16 perturbation 0.79 0.00 0.00 0.08 0.63 39 1385 5 844 105
reimer5h F4 19 random 22.74 0.14 0.05 2.20 18.94 174 17767 16 8097 1457
binomial_5_3_4_6 F4 12 random 0.05 0.03 0.02 0.00 0.01 8 16 7 47 9
katsuran4-simple F4 2 perturbation 0.04 0.02 0.01 0.00 0.01 7 49 4 60 12
czapor87_2h F4 21 random 0.10 0.03 0.01 0.01 0.05 12 180 5 176 40
berth classical 0 random 0.24 0.06 0.03 0.01 0.15 3 111 26 29 10
berth classical 11 perturbation 0.22 0.04 0.03 0.01 0.15 3 111 26 29 10
econ2 classical 24 random 0.03 0.02 0.01 0.00 0.00 2 4 1 2 0
extcyc5 classical 3 random 31.29 1.08 0.56 0.95 28.90 102 6728 10 663 498
rabmo F4 25 perturbation 12.59 0.31 0.14 6.57 5.30 20 169 3 5169 755
fabrice24h classical 12 perturbation 31.90 0.99 0.63 0.63 30.06 102 3831 8 606 504
econ8 classical 26 random 10.07 0.51 0.18 0.48 8.97 59 2704 5 342 266
syz1 classical 20 perturbation 0.02 0.01 0.01 0.00 0.00 2 4 2 2 0
binomial_5_3_4_6 classical 4 perturbation 0.15 0.08 0.05 0.02 0.02 5 10 5 48 30
dessin2 F4 1 perturbation 1.16 0.00 0.00 0.22 0.84 46 1337 4 1350 205
berthh classical 2 random 2.57 0.22 0.14 0.12 2.17 42 3461 40 131 71
r5_2_2 classical 24 random 0.25 0.08 0.04 0.02 0.12 21 160 6 68 47
binomial_7_4_7_8 classical 5 random 0.27 0.14 0.08 0.04 0.05 13 26 8 109 86
r5_2_2 F4 3 perturbation 0.10 0.02 0.01 0.02 0.03 21 160 6 231 99
