Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
binomial_5_3_5_3 F4 22 random 0.19 0.04 0.03 0.01 0.03 12 24 6 93 37
trinks F4 22 perturbation 0.21 0.05 0.03 0.01 0.03 13 109 5 130 28
czapor87_2h F4 26 random 0.23 0.04 0.03 0.01 0.06 12 180 5 176 40
fmtmdeh F4 23 random 0.24 0.06 0.04 0.01 0.03 8 16 6 103 28
katsuran4-simple F4 29 random 0.07 0.03 0.01 0.00 0.01 8 58 4 65 10
hairer1 F4 19 random 0.14 0.04 0.02 0.01 0.07 15 193 8 209 22
binomial_7_3_7_9 classical 24 random 0.21 0.15 0.07 0.01 0.01 11 22 5 40 24
weispfenning94 classical 13 random 0.64 0.14 0.08 0.06 0.28 18 589 11 83 51
wang16 F4 10 perturbation 0.51 0.02 0.02 0.02 0.44 18 374 4 355 44
binomial_5_3_4_4 F4 17 random 0.05 0.03 0.02 0.00 0.01 6 12 7 26 6
hairer1 F4 6 random 0.12 0.03 0.02 0.01 0.06 15 193 8 209 22
dessin1 F4 28 perturbation 1.07 0.00 0.00 0.08 0.92 39 1385 5 844 105
r7_2_2_h F4 18 random 1.44 0.05 0.03 0.27 0.88 67 1487 8 1056 488
katsuranh3 classical 17 perturbation 0.04 0.02 0.01 0.00 0.00 4 16 3 5 1
binomial_5_3_5_3 classical 10 random 0.05 0.03 0.01 0.01 0.01 12 24 6 27 15
binomial_7_3_7_9 F4 6 perturbation 0.13 0.09 0.06 0.01 0.02 12 24 4 141 66
hemmecke classical 8 random 0.04 0.03 0.01 0.00 0.00 3 16 15 3 0
berthh F4 26 perturbation 4.06 0.23 0.16 0.81 2.59 44 2595 40 1939 491
r5_2_2 F4 17 random 0.11 0.03 0.02 0.02 0.03 21 160 6 231 99
r8_2_2 F4 12 random 3.42 0.04 0.02 0.90 2.08 128 5194 9 2329 1087
katsuran3 F4 28 random 0.04 0.02 0.01 0.00 0.00 4 16 3 12 1
r6_2_2_h classical 19 perturbation 1.09 0.17 0.10 0.08 0.79 39 498 7 162 123
binomial_5_3_4_6 classical 28 perturbation 0.15 0.08 0.05 0.03 0.02 13 26 10 72 50
cyclicn2 classical 0 static 0.01 0.00 0.00 0.00 0.00 2 4 2 2 0
katsuran3 classical 27 perturbation 0.03 0.01 0.01 0.00 0.00 4 16 3 5 1
binomial_8_3_8_16 F4 12 random 0.10 0.02 0.01 0.04 0.02 20 40 4 263 126
sendra classical 28 random 0.05 0.02 0.01 0.00 0.01 6 186 11 9 2
binomial_5_3_4_4 classical 17 perturbation 0.05 0.02 0.01 0.00 0.00 11 22 7 27 16
katsuranh8 F4 19 random 6.53 0.04 0.02 0.26 5.81 74 6823 8 2957 470
cyclicn3 classical 21 perturbation 0.03 0.01 0.01 0.00 0.00 3 8 3 3 0
r6_2_2_h classical 17 perturbation 1.10 0.17 0.10 0.08 0.81 39 498 7 162 123
r5_2_2_h classical 6 perturbation 0.23 0.07 0.05 0.02 0.11 21 160 6 68 47
r7_2_2 F4 8 perturbation 0.85 0.04 0.03 0.23 0.47 67 1487 8 1056 488
binomial_4_2_4_1 F4 3 random 0.04 0.02 0.01 0.00 0.00 6 12 3 40 14
cyclicn4-simple classical 22 perturbation 0.03 0.02 0.01 0.00 0.00 7 30 6 12 5
binomial_7_4_7_8 classical 1 perturbation 0.13 0.08 0.05 0.01 0.02 17 34 8 59 42
extcyc5h F4 28 random 12.27 0.16 0.07 0.36 11.21 82 7117 24 5556 417
schieleh F4 28 perturbation 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
jcf26 F4 0 random 18.61 0.33 0.08 10.81 6.76 52 1080 8 5140 476
r6_2_4_h classical 12 random 31.02 0.87 0.33 0.90 29.00 152 8725 13 692 540
r7_2_2 F4 20 perturbation 0.83 0.04 0.02 0.22 0.47 67 1487 8 1056 488
jcf26 classical 22 perturbation 64.70 13.71 3.91 7.09 43.04 80 1960 5 581 414
econh8 classical 21 random 2895.52 22.43 6.72 1213.74 1654.41 92 4006 10 16924 15724
liu F4 3 random 0.09 0.03 0.01 0.01 0.04 16 148 9 355 50
/home/gmlangeloh/SageMath/src/bin/sage-python: line 2: 11977 Terminated              sage -python "$@"
