instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
assur44h F4 0 perturbation 8.33 0.08 0.05 1.19 6.18 179 11895 7 4428 1276
hairer2 F4 0 random 14.89 0.21 0.09 2.47 11.74 64 3704 5 8023 586
r5_2_6_h F4 0 perturbation 16.40 0.16 0.07 3.14 11.48 225 21205 19 5644 2145
discrc2h classical 2 random 26.07 0.11 0.06 0.03 25.70 24 18267 16 88 56
bench1h F4 1 random 10.07 0.06 0.02 1.48 7.76 194 8959 11 8305 1636
discrc2 F4 2 perturbation 42.53 0.39 0.14 0.21 41.24 6 63 6 32207 199
cohn3 classical 0 static 44.93 0.00 0.00 0.76 43.96 92 17876 8 431 271
assur44h F4 1 random 5.82 0.04 0.02 1.00 4.08 160 9978 7 3195 1111
r9_2_2 classical 3 perturbation 199.82 3.80 1.43 3.81 191.44 223 16428 10 1583 1360
schrans_troosth classical 1 random 78.16 0.93 0.31 1.18 75.65 128 18425 9 780 652
katsuranh9 classical 2 random 154.04 1.52 0.40 1.44 150.51 143 26135 9 886 743
ahml classical 3 perturbation 11.08 0.22 0.11 0.23 10.50 39 6451 12 211 132
pinchon1 classical 0 caboara-perry 442.84 68.43 1.44 41.40 317.32 29 2214 78 882 446
econ10 classical 3 random 533.25 3.63 1.22 7.88 520.69 203 31810 6 1621 1363
rabmoh F4 1 perturbation 137.33 0.43 0.17 9.23 125.47 235 12679 11 43613 3003
chemkinh F4 4 random 501.26 0.19 0.06 3.38 495.09 166 14390 15 52202 2359
f855 F4 4 random 68.71 0.06 0.03 43.55 22.79 148 9213 4 10739 2320
ahml F4 0 random 24.82 0.10 0.05 0.20 23.98 51 9190 12 7633 283
aubry2 classical 3 random 604.24 7.88 1.40 6.59 587.95 79 7215 6 1013 645
f855 classical 2 random 1214.08 8.67 1.99 58.68 1136.16 77 7119 9 1475 1006
virasoro classical 0 static 80.98 0.00 0.00 1.25 79.42 128 18425 9 780 652
virasoro classical 0 perturbation 82.57 1.33 0.51 1.24 79.59 128 18425 9 780 652
ahml classical 2 perturbation 14.14 0.46 0.22 0.20 13.35 50 8956 15 212 134
f744h F4 4 perturbation 15.41 0.11 0.06 1.91 12.45 204 10479 8 8714 1516
r9_2_2_h classical 1 perturbation 226.80 3.78 1.26 4.16 218.11 223 16426 10 1583 1360
assur44h classical 3 perturbation NA NA NA NA NA NA NA NA NA NA
filter9h classical 0 random NA NA NA NA NA NA NA NA NA NA
filter9h F4 2 perturbation NA NA NA NA NA NA NA NA NA NA
nya classical 3 random NA NA NA NA NA NA NA NA NA NA
ilias13 F4 1 perturbation NA NA NA NA NA NA NA NA NA NA
r7_2_4_h F4 2 perturbation 24.44 0.24 0.09 5.27 16.70 249 23533 14 9285 3812
jason210 classical 0 perturbation NA NA NA NA NA NA NA NA NA NA
assur44h F4 2 perturbation 8.59 0.05 0.03 1.33 6.31 179 11895 7 4428 1276
ilias13 classical 3 perturbation NA NA NA NA NA NA NA NA NA NA
pinchon1h F4 1 perturbation 87.85 1.75 0.63 2.21 81.35 172 16797 20 19105 1348
discrc2 classical 3 perturbation 20.61 3.55 1.62 4.94 11.67 26 1290 10 1099 951
virasoro classical 2 random 80.78 0.91 0.30 1.21 78.25 128 18425 9 780 652
redcyc7 F4 0 random 91.80 0.44 0.09 14.96 70.02 78 9763 7 14896 2348
virasoro F4 0 perturbation 18.78 0.05 0.03 0.97 16.56 128 18425 9 5408 1057
f855 classical 0 static 906.27 0.00 0.00 32.93 872.25 148 9213 4 1949 1572
aubry2 classical 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
econh10 classical 1 random NA NA NA NA NA NA NA NA NA NA
f855 classical 1 random NA NA NA NA NA NA NA NA NA NA
ilias_k_2 F4 1 random 283.87 1.18 0.21 49.56 225.42 78 10607 12 34384 2217
rpblh classical 2 perturbation 81.11 1.65 0.82 1.02 78.08 156 10451 17 790 634
r9_2_2 classical 2 perturbation 218.34 4.01 1.36 4.13 209.38 223 16428 10 1583 1360
redeco10 F4 0 random 491.71 1.07 0.17 32.71 450.88 83 20073 16 46447 1591
jason210h F4 1 random 1562.54 2.53 1.21 443.66 1107.27 1561 36816 48 466289 28135
r9_2_2_h F4 0 perturbation 14.17 0.09 0.05 3.02 9.67 223 16426 10 4727 2252
bench1h classical 0 perturbation NA NA NA NA NA NA NA NA NA NA
ducos7_5 classical 4 perturbation 530.53 21.87 3.72 21.02 486.39 1 1 0 895 400
rpblh classical 1 perturbation 79.94 1.52 0.78 0.99 77.08 156 10451 17 790 634
ilias13 F4 0 localsearch NA NA NA NA NA NA NA NA NA NA
aubry2 classical 0 perturbation 531.82 11.08 2.15 6.10 512.85 79 7215 6 1013 645
discrc2h classical 3 random 91.50 4.25 0.92 4.62 81.73 16 955 11 1001 831
ilias13 F4 3 perturbation NA NA NA NA NA NA NA NA NA NA
jason210 classical 2 random NA NA NA NA NA NA NA NA NA NA
econh9 classical 0 static 118.89 0.00 0.00 1.91 116.57 196 15400 14 1211 1015
hairer2_0 classical 0 random 118.38 1.93 0.50 2.00 113.90 72 4066 6 553 364
ahml classical 1 random 10.67 0.35 0.14 0.15 10.04 56 12653 12 205 136
ducos7_3 classical 0 perturbation 1122.12 30.11 3.44 10.44 1078.52 80 8634 6 1270 758
chemkin F4 0 random 7.57 0.04 0.02 1.41 5.46 90 6310 4 3389 741
cohn3 F4 0 caboara-perry 88.49 2.23 0.63 4.48 79.21 74 14051 10 12119 523
