Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
binomial_5_3_4_4 classical 0 static 0.12 0.00 0.00 0.00 0.00 11 22 7 27 16
solotarev classical 0 random 0.19 0.04 0.03 0.00 0.01 10 50 3 24 14
buchberger87 F4 7 random 0.20 0.04 0.03 0.00 0.02 5 10 5 27 5
binomial_5_3_5_3 F4 12 random 0.20 0.04 0.03 0.01 0.03 6 12 5 68 22
binomial_6_3_6_6 classical 14 random 0.24 0.07 0.04 0.01 0.01 7 14 5 29 16
gerdt93 F4 0 random 0.17 0.07 0.04 0.00 0.07 9 59 8 172 20
r5_2_2_h F4 5 perturbation 0.15 0.03 0.02 0.04 0.05 21 160 6 231 99
liu F4 26 random 0.20 0.07 0.03 0.01 0.10 16 148 9 355 50
weispfenning94 classical 15 perturbation 0.25 0.07 0.05 0.01 0.13 22 511 14 48 26
katsuranh2 classical 10 random 0.04 0.03 0.01 0.00 0.00 2 5 2 2 0
schiele F4 24 perturbation 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
binomial_6_2_6_7 F4 2 random 0.06 0.03 0.02 0.01 0.01 9 18 3 74 31
katsuran4-simple F4 18 random 0.06 0.03 0.01 0.00 0.01 7 45 4 62 11
wang16h F4 14 random 0.64 0.04 0.02 0.03 0.44 33 809 9 420 73
katsuranh3 classical 29 random 0.04 0.03 0.01 0.00 0.00 4 16 3 5 1
r5_2_2 classical 23 random 0.27 0.09 0.05 0.02 0.13 21 160 6 68 47
sym33 F4 3 perturbation 0.08 0.02 0.02 0.00 0.04 10 85 10 175 15
fmtm classical 1 random 0.07 0.05 0.03 0.00 0.00 8 16 7 15 7
binomial_7_4_7_8 classical 12 perturbation 0.44 0.38 0.35 0.01 0.02 17 34 8 59 42
cyclicn5-permut F4 0 caboara-perry 0.58 0.27 0.13 0.08 0.19 12 114 15 572 69
r7_2_2 F4 27 random 0.88 0.04 0.02 0.24 0.49 67 1487 8 1056 488
binomial_6_2_6_7 classical 16 random 0.09 0.06 0.03 0.01 0.01 9 18 3 28 16
redcyc6 F4 2 random 2.58 0.16 0.09 0.49 1.76 21 493 6 1979 328
redcyc6 F4 4 random 2.48 0.13 0.06 0.48 1.69 21 493 6 1979 328
redcyc6 F4 20 perturbation 2.24 0.15 0.08 0.48 1.43 21 493 6 1979 328
weispfenning94 classical 20 random 1.21 0.12 0.07 0.10 0.95 30 1229 14 132 82
vermeer classical 15 perturbation 0.94 0.19 0.12 0.07 0.64 20 433 6 135 88
dessin2 F4 22 random 1.13 0.00 0.00 0.21 0.82 46 1337 4 1350 205
rose F4 16 random 2.63 0.17 0.09 0.38 1.97 11 289 11 4253 130
syz1 classical 19 perturbation 0.02 0.01 0.01 0.00 0.00 2 4 2 2 0
wu90 classical 28 random 0.15 0.05 0.03 0.01 0.07 8 122 10 31 13
gerdt93 F4 3 perturbation 0.08 0.03 0.02 0.00 0.03 7 63 5 149 15
bench1 F4 27 perturbation 11.49 0.32 0.17 5.80 4.78 98 4592 4 6256 1529
sparsesym5 classical 18 random 0.04 0.03 0.01 0.00 0.00 5 12 10 5 0
katsuran4-simple classical 6 perturbation 0.04 0.02 0.01 0.00 0.01 7 49 4 12 5
hemmecke classical 23 random 0.04 0.03 0.01 0.00 0.00 3 16 15 3 0
redcyc6h classical 2 perturbation 9.45 0.53 0.30 0.36 8.41 106 3994 22 400 294
extcyc5 classical 23 random 30.24 1.08 0.57 0.93 27.96 102 6728 10 663 498
dessin2h classical 27 perturbation 39.89 1.04 0.44 1.80 36.66 109 3645 7 866 735
cyclicn3 classical 9 perturbation 0.03 0.01 0.01 0.00 0.00 3 8 3 3 0
r8_2_2_h classical 0 perturbation 38.93 0.92 0.44 1.22 36.55 128 5195 9 779 651
liu F4 16 perturbation 0.12 0.03 0.02 0.01 0.06 16 148 9 355 50
cyclicn2 F4 8 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
sparsesym5h classical 17 random 0.05 0.03 0.02 0.00 0.00 6 16 18 16 10
f744 F4 14 perturbation 7.98 0.14 0.08 3.75 3.66 87 3932 4 3892 819
fabrice24 F4 19 random 3.33 0.13 0.02 0.91 2.08 53 2023 5 2166 394
binomial_8_3_8_16 F4 0 random 0.11 0.04 0.02 0.04 0.01 8 16 3 182 76
redcyc6h F4 27 random 14.34 0.14 0.06 1.01 12.60 104 4774 34 11242 1081
econh3 F4 9 perturbation 0.03 0.02 0.01 0.00 0.00 4 11 4 8 1
wu90h classical 14 perturbation 11.23 0.95 0.47 3.18 6.90 29 424 8 775 642
bench2 F4 4 random 5.46 0.12 0.05 3.62 1.49 86 1487 4 3661 1044
katsuran3 classical 24 random 0.03 0.02 0.01 0.00 0.00 4 16 3 5 1
rabmo classical 27 random 82.08 2.51 1.08 11.97 67.12 9 63 4 472 231
krider classical 21 perturbation 25.92 2.63 1.61 4.13 18.87 24 301 17 704 547
binomial_5_3_4_4 classical 13 random 0.05 0.03 0.01 0.00 0.00 11 22 7 27 16
