instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicn4 classical 0 static 0.09 0.00 0.00 0.00 0.00 7 30 6 12 5
cyclicnh4 F4 15 random 0.10 0.00 0.00 0.00 0.01 7 30 6 29 5
cyclicn4 F4 0 static 0.02 0.00 0.00 0.00 0.01 7 30 6 29 5
cyclicnh4 F4 16 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 17 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 18 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 19 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 20 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 21 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 22 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicn4 classical 0 caboara-perry 0.11 0.08 0.07 0.00 0.01 5 21 5 8 3
cyclicnh4 F4 23 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 24 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 25 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicn4 F4 0 caboara-perry 0.04 0.03 0.02 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 26 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh4 F4 27 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicnh5 F4 0 random 0.28 0.08 0.07 0.02 0.07 38 538 13 350 89
cyclicnh4 F4 28 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicn4 classical 0 perturbation 0.05 0.04 0.03 0.00 0.00 7 30 6 12 5
cyclicnh4 F4 29 random 0.01 0.00 0.00 0.00 0.00 7 30 6 29 5
cyclicn4 classical 1 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicnh5 F4 1 random 0.10 0.05 0.04 0.01 0.03 15 187 8 174 17
cyclicn4 classical 2 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 3 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 4 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 5 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 6 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 7 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 8 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn5 classical 0 static 0.36 0.00 0.00 0.05 0.29 20 232 8 113 75
cyclicn4 classical 9 perturbation 0.05 0.04 0.04 0.00 0.00 7 30 6 12 5
cyclicn4 classical 10 perturbation 0.05 0.04 0.04 0.00 0.00 7 30 6 12 5
cyclicn5 F4 0 static 0.13 0.00 0.00 0.03 0.07 20 232 8 364 87
cyclicn4 classical 11 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 12 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 13 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicnh5 F4 2 random 0.50 0.10 0.08 0.03 0.35 13 174 8 685 61
cyclicn4 classical 14 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 15 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 16 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 17 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 18 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicnh6 classical 15 random 1.14 0.21 0.16 0.05 0.77 31 1243 9 97 58
cyclicnh5 F4 3 random 0.24 0.11 0.08 0.02 0.09 33 384 20 499 77
cyclicn4 classical 19 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 20 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 21 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicn4 classical 22 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
cyclicnh5 F4 4 random 0.15 0.05 0.04 0.02 0.06 38 538 13 350 89
cyclicn4 classical 23 perturbation 0.04 0.03 0.03 0.00 0.00 7 30 6 12 5
