Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
discrc2 F4 0 localsearch 0.69 0.55 0.08 0.00 0.01 3 20 4 21 7
discrc2 classical 18 perturbation 4.06 1.16 0.60 0.34 2.32 3 18 3 267 208
ahml classical 9 random 2.58 0.06 0.03 0.04 2.41 34 5607 11 107 71
discrc2 classical 1 random 0.49 0.34 0.04 0.01 0.11 13 355 11 41 26
discrc2h classical 1 random 1.58 0.54 0.26 0.15 0.81 11 696 11 160 122
ahml classical 6 random 9.24 0.47 0.21 0.24 8.32 40 6476 10 224 150
discrc2h classical 0 perturbation 0.75 0.50 0.31 0.04 0.16 9 311 10 59 37
discrc2h F4 21 random 12.76 0.06 0.04 0.01 12.42 23 3534 12 9658 44
discrc2 classical 21 random 2.88 0.15 0.07 0.03 2.62 29 5805 12 101 69
discrc2h F4 25 random 16.79 0.06 0.04 0.01 16.44 19 3875 14 9433 30
discrc2 classical 24 perturbation 1.51 0.69 0.42 0.12 0.62 6 75 6 138 100
aubry2 F4 9 perturbation 28.97 0.06 0.04 4.32 22.60 79 7215 6 5881 1020
discrc2h classical 2 perturbation 0.66 0.49 0.30 0.01 0.12 12 460 10 43 23
ahml classical 20 random 14.46 0.39 0.17 0.28 13.64 49 8675 14 258 169
aubry2 F4 15 random 29.41 0.32 0.30 4.40 22.80 79 7215 6 5881 1020
aubry2 F4 10 perturbation 30.27 0.05 0.03 4.62 23.66 79 7215 6 5881 1020
discrc2 F4 20 perturbation 48.87 0.42 0.16 0.19 47.47 3 20 4 42085 192
ahml F4 27 perturbation 42.25 0.10 0.05 0.49 40.96 46 8453 12 8049 286
discrc2 classical 28 random 37.35 0.50 0.19 0.19 36.43 31 24802 14 200 139
ahmlh classical 10 random 60.88 1.00 0.36 0.83 58.76 90 21805 16 489 348
aubry2 F4 11 perturbation 29.38 0.05 0.03 4.37 23.06 79 7215 6 5881 1020
ahml F4 5 perturbation 166.26 0.60 0.16 7.38 154.69 48 10660 18 29848 987
ahml classical 2 perturbation 13.27 0.49 0.24 0.19 12.45 50 8956 15 212 134
ahml F4 9 random 309.50 1.54 0.39 15.90 286.92 48 10825 14 56810 2764
discrc2 F4 9 random 203.40 0.31 0.09 1.07 200.57 55 14338 15 45664 526
ahml classical 4 perturbation 176.01 3.66 1.03 19.03 152.16 37 6660 11 1723 1432
ahml F4 26 random 138.21 0.61 0.15 3.18 132.10 45 10242 14 27825 732
discrc2 classical 9 random 16.63 0.79 0.29 1.40 14.11 7 131 8 629 512
aubry2 classical 16 perturbation 570.56 10.98 2.36 6.21 551.56 79 7215 6 1013 645
discrc2h classical 26 perturbation 0.69 0.50 0.30 0.03 0.12 8 318 10 57 36
ahml F4 25 random 280.61 0.10 0.04 0.49 278.85 72 16117 15 34979 383
ahml F4 12 random 55.15 0.10 0.04 0.68 53.49 42 8414 13 13857 275
aubry2 classical 8 perturbation 587.54 10.65 2.10 6.40 568.77 79 7215 6 1013 645
ahml classical 7 perturbation 15.19 0.28 0.15 0.37 14.39 45 7608 16 279 187
ahml F4 28 random 23.96 0.09 0.04 0.26 23.12 49 9522 11 7621 251
aubry2 F4 22 random 29.31 0.03 0.02 4.65 22.68 79 7215 6 5881 1020
aubry2 classical 9 random 615.60 7.51 1.32 6.51 599.82 79 7215 6 1013 645
discrc2h classical 0 localsearch 0.29 0.25 0.06 0.00 0.02 3 20 4 3 0
ahmlh F4 12 random 115.26 0.26 0.08 0.78 112.48 122 24961 28 20799 787
discrc2h F4 8 random 0.19 0.05 0.02 0.00 0.11 11 286 9 308 12
aubry2 classical 24 perturbation 586.69 10.95 2.15 6.34 567.21 79 7215 6 1013 645
discrc2 F4 1 random 0.72 0.09 0.04 0.01 0.57 12 568 11 962 22
discrc2h F4 22 random 115.15 0.26 0.07 0.18 113.12 13 1895 13 35232 226
ahmlh F4 29 perturbation 1608.42 2.90 0.57 48.09 1541.15 287 71937 33 124259 7001
ahmlh F4 1 perturbation 1721.34 14.26 1.90 256.21 1415.96 89 17035 16 174128 19287
aubry2 classical 5 random 566.03 7.90 1.41 6.10 550.14 79 7215 6 1013 645
discrc2h classical 29 perturbation 0.74 0.54 0.34 0.03 0.12 11 266 9 64 41
ahmlh F4 0 localsearch 2080.53 2011.00 55.99 1.10 66.09 69 13211 15 20601 1608
discrc2h classical 15 perturbation 0.82 0.63 0.39 0.02 0.12 12 460 10 43 23
ahml classical 24 random 2.78 0.13 0.07 0.05 2.53 33 5152 10 106 69
discrc2 classical 23 perturbation 1.64 0.78 0.46 0.14 0.62 19 595 7 164 124
discrc2 classical 8 random 3.91 0.57 0.26 0.35 2.81 10 325 7 249 182
ahmlh F4 9 perturbation 250.58 0.93 0.24 4.99 240.12 154 32450 22 35129 1942
aubry2 classical 8 random 567.54 8.71 1.74 6.24 550.73 79 7215 6 1013 645
ahmlh classical 24 perturbation 2881.86 42.34 8.73 668.70 2160.07 79 14103 16 21785 20847
ahml classical 26 random 41.70 0.98 0.30 0.53 38.82 29 12278 31 277 134
ahml F4 27 random 100.25 0.21 0.07 0.71 98.08 54 12437 13 19473 460
ahmlh classical 14 perturbation NA NA NA NA NA NA NA NA NA NA
ahml F4 16 random 214.55 0.97 0.19 7.15 202.85 31 6829 17 37346 877
aubry2 F4 23 perturbation 30.97 0.05 0.03 4.64 24.35 79 7215 6 5881 1020
ahmlh F4 17 random 40.03 0.13 0.05 0.13 39.20 75 14065 15 8299 193
aubry2 classical 15 perturbation 555.14 11.05 2.09 6.01 536.26 79 7215 6 1013 645
discrc2h classical 12 random 0.43 0.21 0.10 0.01 0.17 18 719 9 57 37
discrc2 F4 8 perturbation 0.14 0.09 0.06 0.00 0.03 5 84 9 121 9
discrc2 F4 25 random 54.38 0.18 0.06 0.37 52.97 18 757 13 25213 311
ahml F4 0 caboara-perry NA NA NA NA NA NA NA NA NA NA
ahml F4 18 perturbation 59.21 0.23 0.10 0.76 57.30 51 10594 12 11004 408
discrc2h classical 13 random 38.60 1.34 0.56 0.48 36.41 3 18 4 349 268
discrc2 classical 16 random 579.28 0.40 0.17 0.10 578.17 27 42382 22 160 113
discrc2h classical 11 random 0.30 0.09 0.05 0.01 0.16 8 517 11 32 16
ahmlh classical 9 random 38.34 1.02 0.38 1.13 35.90 80 13874 14 592 449
ahmlh F4 16 perturbation 1321.81 8.83 1.38 146.25 1141.16 180 40776 20 172255 15367
ahmlh classical 5 perturbation 2207.10 38.31 8.34 534.07 1625.33 81 18653 15 17436 16564
